3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
²ô	0xf4b2	0x63ba
²õ	0xf5b2	0x8749
²ö	0xf6b2	0x998b
²÷	0xf7b2	0x8c17
²ø	0xf8b2	0x7f20
²ù	0xf9b2	0x94f2
²ú	0xfab2	0x4ea7
²û	0xfbb2	0x9610
²ü	0xfcb2	0x98a4
²ý	0xfdb2	0x660c
²þ	0xfeb2	0x7316
³¡	0xa1b3	0x573a
³¢	0xa2b3	0x5c1d
³£	0xa3b3	0x5e38
³¤	0xa4b3	0x957f
³¥	0xa5b3	0x507f
³¦	0xa6b3	0x80a0
³§	0xa7b3	0x5382
³¨	0xa8b3	0x655e
³©	0xa9b3	0x7545
³ª	0xaab3	0x5531
³«	0xabb3	0x5021
³¬	0xacb3	0x8d85
³­	0xadb3	0x6284
³®	0xaeb3	0x949e
³¯	0xafb3	0x671d
³°	0xb0b3	0x5632
³±	0xb1b3	0x6f6e
³²	0xb2b3	0x5de2
³³	0xb3b3	0x5435
³´	0xb4b3	0x7092
³µ	0xb5b3	0x8f66
³¶	0xb6b3	0x626f
³·	0xb7b3	0x64a4
³¸	0xb8b3	0x63a3
³¹	0xb9b3	0x5f7b
³º	0xbab3	0x6f88
³»	0xbbb3	0x90f4
³¼	0xbcb3	0x81e3
³½	0xbdb3	0x8fb0
³¾	0xbeb3	0x5c18
³¿	0xbfb3	0x6668
³À	0xc0b3	0x5ff1
³Á	0xc1b3	0x6c89
³Â	0xc2b3	0x9648
³Ã	0xc3b3	0x8d81
³Ä	0xc4b3	0x886c
³Å	0xc5b3	0x6491
³Æ	0xc6b3	0x79f0
³Ç	0xc7b3	0x57ce
³È	0xc8b3	0x6a59
³É	0xc9b3	0x6210
³Ê	0xcab3	0x5448
³Ë	0xcbb3	0x4e58
³Ì	0xccb3	0x7a0b
³Í	0xcdb3	0x60e9
³Î	0xceb3	0x6f84
³Ï	0xcfb3	0x8bda
³Ð	0xd0b3	0x627f
³Ñ	0xd1b3	0x901e
³Ò	0xd2b3	0x9a8b
³Ó	0xd3b3	0x79e4
³Ô	0xd4b3	0x5403
³Õ	0xd5b3	0x75f4
³Ö	0xd6b3	0x6301
³×	0xd7b3	0x5319
³Ø	0xd8b3	0x6c60
³Ù	0xd9b3	0x8fdf
³Ú	0xdab3	0x5f1b
³Û	0xdbb3	0x9a70
³Ü	0xdcb3	0x803b
³Ý	0xddb3	0x9f7f
